,fire_type,day,month,temperature,humidity,uwind,t1w,t2w,t3w,h1w,h2w,h3w
0,11,29,4,287.989990234375,44.649993896484375,-0.1999969482421875,286.9928283691406,285.6379089355469,284.60235595703125,52.02997589111328,51.51642608642578,50.4076042175293
1,11,6,4,279.739990234375,63.44999694824219,1.0999908447265625,278.27581787109375,277.2785949707031,275.9552307128906,56.17854690551758,63.05927658081055,67.1280746459961
2,9,25,8,295.67999267578125,27.220001220703125,-5.279998779296875,295.22283935546875,297.32220458984375,297.46685791015625,31.30862045288086,32.50429916381836,36.401424407958984
3,6,4,9,295.83001708984375,55.339996337890625,-3.970001220703125,296.9200439453125,294.9635314941406,295.0296325683594,46.0814094543457,46.124229431152344,49.62283706665039
4,10,23,3,274.55999755859375,74.22000122070312,1.459991455078125,271.3914794921875,267.7471923828125,263.7553405761719,74.96430969238281,78.59427642822266,80.2309341430664
5,10,8,5,283.80999755859375,63.80999755859375,2.279998779296875,282.63006591796875,277.22216796875,275.8124084472656,66.36711883544922,72.48858642578125,72.47142791748047
6,10,19,7,292.97998046875,48.92999267578125,-1.529998779296875,291.9615173339844,293.6642761230469,295.01141357421875,62.6057243347168,63.026405334472656,59.49052047729492
7,11,14,4,279.3800048828125,51.33000183105469,-1.9199981689453125,280.7443542480469,279.04351806640625,276.4166259765625,54.538570404052734,70.52784729003906,72.2871322631836
8,11,13,8,297.8900146484375,48.69000244140625,1.4799957275390625,295.7013244628906,296.5057373046875,297.31707763671875,50.954227447509766,52.32644271850586,52.402854919433594
9,10,22,4,285.04998779296875,50.13999938964844,0.5500030517578125,278.5357666015625,278.06793212890625,275.9553527832031,65.40428924560547,72.6563949584961,75.49571228027344
10,9,15,4,280.9700012207031,27.57000732421875,0.5099945068359375,279.67437744140625,275.93218994140625,276.6529235839844,33.599979400634766,35.30717086791992,41.29905700683594
11,10,28,9,277.3800048828125,74.75,3.6999969482421875,281.4871520996094,280.5978698730469,279.3301696777344,72.03431701660156,69.03433990478516,68.24574279785156
12,9,26,7,304.53997802734375,42.350006103515625,-7.9600067138671875,301.4429626464844,301.5391540527344,301.7167663574219,47.52431869506836,46.682865142822266,46.17097854614258
13,10,18,9,277.1499938964844,65.47999572753906,0.529998779296875,279.0013732910156,277.5250549316406,279.3676452636719,58.89857864379883,63.651458740234375,65.7199935913086
14,4,17,10,281.2799987792969,64.24000549316406,0.6199951171875,280.4615173339844,280.3336181640625,282.2724304199219,63.169986724853516,68.10151672363281,71.7580795288086
15,9,17,4,285.94000244140625,52.63999938964844,1.720001220703125,279.198486328125,278.3714294433594,275.8675842285156,57.2743034362793,68.90643310546875,73.45521545410156
16,6,20,4,278.58001708984375,46.1099853515625,1.8699951171875,277.3285827636719,278.3028564453125,275.65191650390625,46.525753021240234,56.99074172973633,62.398590087890625
17,10,31,3,270.22998046875,49.08000183105469,-1.9900054931640625,273.13140869140625,270.0242614746094,267.254150390625,59.098602294921875,70.05357360839844,74.53949737548828
18,1,19,4,276.2799987792969,67.89999389648438,3.2599945068359375,273.007080078125,273.7620849609375,272.3741760253906,70.62715148925781,75.500732421875,78.05572509765625
19,8,19,5,293.1499938964844,41.92999267578125,-0.6100006103515625,287.9400329589844,287.6270446777344,286.16314697265625,39.77001953125,40.897151947021484,36.688560485839844
20,9,1,10,280.04998779296875,67.41000366210938,4.1100006103515625,286.1171875,286.814453125,286.96600341796875,64.33284759521484,65.38710021972656,64.34999084472656
21,10,13,8,295.80999755859375,59.220001220703125,1.7899932861328125,292.7943115234375,290.83282470703125,290.7889709472656,50.638648986816406,53.055747985839844,55.92619323730469
22,4,22,9,293.6600036621094,62.69999694824219,1.1999969482421875,289.71295166015625,289.8714904785156,290.8794250488281,72.40287017822266,70.37857818603516,69.91329956054688
23,6,8,6,294.510009765625,64.72999572753906,0.1399993896484375,294.2528381347656,292.7942810058594,289.7563171386719,51.72429656982422,55.83145523071289,58.75188446044922
24,3,25,4,285.03997802734375,70.50999450683594,0.42999267578125,280.95135498046875,280.0486145019531,278.8096008300781,65.32431030273438,67.10067749023438,72.11811065673828
25,11,29,4,285.4100036621094,56.75,0.9900054931640625,282.222900390625,283.8314514160156,283.3161926269531,63.255706787109375,65.33856964111328,60.8604621887207
26,8,24,4,289.58001708984375,27.899993896484375,1.720001220703125,283.53863525390625,281.9135437011719,279.01470947265625,30.44574546813965,32.12065887451172,34.476646423339844
27,9,22,8,298.70001220703125,35.0,1.2299957275390625,299.2673034667969,298.420654296875,298.9634704589844,34.4871711730957,36.97211837768555,39.75668716430664
28,10,20,4,277.0999755859375,52.97999572753906,3.1100006103515625,275.1601257324219,275.7299499511719,272.9599914550781,56.402801513671875,71.58358764648438,74.8233413696289
29,6,13,5,289.58001708984375,44.660003662109375,2.470001220703125,288.587158203125,285.82080078125,285.90252685546875,40.18571853637695,41.602874755859375,37.12714385986328
30,6,30,4,288.07000732421875,43.239990234375,-0.1300048828125,283.2943420410156,281.1006774902344,280.0129699707031,55.840003967285156,55.54074478149414,61.269039154052734
31,8,12,7,296.9599914550781,50.69999694824219,-1.5500030517578125,292.471435546875,294.4556579589844,296.2852478027344,42.52567672729492,44.94577407836914,42.891868591308594
32,4,28,10,276.42999267578125,79.74000549316406,0.899993896484375,274.56005859375,275.2072448730469,276.089599609375,84.81999206542969,84.71002197265625,82.72001647949219
33,10,2,6,295.94000244140625,37.519989013671875,-1.9199981689453125,289.3299560546875,288.3471984863281,285.6342468261719,48.39137649536133,53.40778732299805,54.0138053894043
34,9,9,5,289.8999938964844,32.100006103515625,1.410003662109375,285.51434326171875,283.3892517089844,283.893310546875,43.12289047241211,35.996376037597656,34.27378845214844
35,9,25,4,289.2099914550781,27.660003662109375,1.55999755859375,285.6742858886719,282.67425537109375,280.21051025390625,37.72573471069336,46.345726013183594,46.43571472167969
36,6,26,4,282.55999755859375,66.58999633789062,4.0099945068359375,283.0314636230469,280.2092590332031,278.7624816894531,60.95856857299805,62.030029296875,68.75094604492188
37,8,13,7,293.3999938964844,45.100006103515625,0.8300018310546875,293.3442077636719,295.5484619140625,295.5481262207031,50.74999237060547,49.42286682128906,47.0819206237793
38,8,14,8,288.28997802734375,57.94999694824219,0.7299957275390625,292.4728088378906,290.64715576171875,290.1390380859375,54.57857131958008,54.58713912963867,59.12236785888672
39,6,30,4,285.7799987792969,39.850006103515625,-0.6199951171875,280.59991455078125,278.2686462402344,277.6938781738281,60.178619384765625,59.1728515625,65.72716522216797
40,6,20,8,294.82000732421875,50.279998779296875,2.69000244140625,294.6643981933594,293.9949951171875,294.59912109375,56.99140548706055,58.63065719604492,61.40521240234375
41,8,9,5,292.8999938964844,27.0,1.649993896484375,286.8985290527344,283.9342956542969,284.0732727050781,43.855674743652344,37.96926498413086,35.689064025878906
42,11,30,4,285.3699951171875,48.99000549316406,4.8499908447265625,285.2371826171875,285.0400390625,283.781982421875,53.76858139038086,56.094268798828125,53.457130432128906
43,8,24,7,292.2200012207031,36.589996337890625,-0.0500030517578125,290.9685363769531,292.1171569824219,291.6395263671875,44.872867584228516,47.63856887817383,48.69522476196289
44,4,23,9,281.54998779296875,70.88999938964844,-0.9799957275390625,279.7314147949219,280.12420654296875,280.8890380859375,82.35721588134766,80.16433715820312,77.05906677246094
45,6,20,4,274.29998779296875,41.6300048828125,0.410003662109375,274.892822265625,275.155029296875,272.5552673339844,59.828556060791016,71.96928405761719,75.24237823486328
46,3,26,8,293.510009765625,62.99000549316406,0.410003662109375,289.8486328125,289.9735107421875,290.6538391113281,71.30570220947266,71.75857543945312,70.99807739257812
47,8,6,7,294.3499755859375,48.850006103515625,0.959991455078125,297.64013671875,296.4278564453125,295.65899658203125,45.89140701293945,44.20002365112305,43.3309211730957
48,8,2,6,296.28997802734375,45.019989013671875,-1.029998779296875,294.5328674316406,291.2421569824219,290.24139404296875,44.862831115722656,52.47212600708008,50.7014274597168
49,6,3,5,278.03997802734375,53.75999450683594,2.69000244140625,281.5058288574219,281.9649658203125,279.9756774902344,58.229949951171875,60.06787872314453,59.457149505615234
50,8,20,6,300.16998291015625,39.0,0.5399932861328125,296.2627868652344,294.69073486328125,293.0784606933594,42.339962005615234,49.36355209350586,50.36188888549805
51,10,30,3,278.77001953125,30.649993896484375,3.8300018310546875,279.8800048828125,275.0757751464844,272.0108947753906,48.87427520751953,55.98212814331055,64.17000579833984
52,6,5,4,273.1499938964844,39.279998779296875,8.029998779296875,277.0986328125,277.5271911621094,275.2423095703125,56.66428756713867,59.824989318847656,58.109039306640625
53,10,7,4,274.5299987792969,40.649993896484375,2.209991455078125,275.757080078125,277.2314147949219,275.27655029296875,39.9243049621582,50.6472053527832,58.28525161743164
54,6,28,10,283.6600036621094,42.279998779296875,-0.8000030517578125,276.65582275390625,276.3836669921875,277.9615478515625,62.941436767578125,62.97709655761719,62.74714279174805
55,6,15,5,286.5299987792969,43.6300048828125,3.709991455078125,284.3672180175781,283.3344421386719,282.5028076171875,54.83715057373047,58.90998458862305,60.931915283203125
56,6,29,4,286.08001708984375,48.11000061035156,2.1300048828125,286.0657653808594,285.6221618652344,283.01202392578125,28.175724029541016,34.75645065307617,42.561431884765625
57,6,1,5,276.3999938964844,51.74000549316406,0.19000244140625,278.93280029296875,277.2592468261719,275.99224853515625,62.89142608642578,67.40431213378906,69.1076431274414
58,9,19,4,279.72998046875,57.92999267578125,3.209991455078125,276.48577880859375,275.7564392089844,273.4508972167969,66.92855834960938,78.5964126586914,81.12618255615234
59,9,23,4,285.010009765625,24.959991455078125,0.209991455078125,282.97149658203125,281.2935485839844,278.1123352050781,31.905746459960938,32.44780349731445,34.42664337158203
60,9,11,4,285.8499755859375,41.8800048828125,-6.8699951171875,282.2472229003906,279.68359375,278.3828125,49.18425750732422,52.78213119506836,58.528076171875
61,6,6,6,294.79998779296875,47.49000549316406,2.3300018310546875,288.5543518066406,285.45281982421875,283.98736572265625,62.449989318847656,66.20000457763672,61.30861282348633
62,9,26,4,293.2099914550781,27.1400146484375,3.3199920654296875,287.4285888671875,284.86431884765625,282.93048095703125,34.170013427734375,45.84642028808594,45.4609489440918
63,9,9,8,291.16998291015625,46.540008544921875,-2.2599945068359375,290.3501281738281,290.67083740234375,290.5477294921875,53.40858840942383,56.4857292175293,57.7128791809082
64,11,7,9,296.6099853515625,23.75,2.1999969482421875,297.39990234375,297.32086181640625,296.186279296875,22.8942928314209,27.65999412536621,31.580949783325195
65,9,14,4,282.6499938964844,46.42999267578125,-2.30999755859375,281.1314392089844,279.43927001953125,276.6966552734375,50.90432357788086,65.210693359375,67.34762573242188
66,6,24,9,288.3900146484375,71.80000305175781,-0.4799957275390625,284.1343688964844,283.96356201171875,284.9615173339844,68.87429809570312,70.84358215332031,71.88711547851562
67,6,6,4,273.95001220703125,28.019989013671875,1.209991455078125,275.33856201171875,275.67779541015625,273.0305480957031,33.12430191040039,52.03859329223633,62.775230407714844
68,8,18,4,280.54998779296875,36.100006103515625,1.279998779296875,279.3199768066406,276.56134033203125,274.9508056640625,35.47288513183594,43.2835807800293,45.206172943115234
69,8,13,8,298.8900146484375,47.52000427246094,-0.8600006103515625,293.537109375,292.181396484375,291.9094543457031,46.671390533447266,49.2442741394043,54.3842658996582
70,11,1,10,294.57000732421875,53.08000183105469,-6.05999755859375,290.227294921875,292.2140808105469,293.23284912109375,54.612815856933594,49.515071868896484,53.26327896118164
71,6,2,5,279.1400146484375,40.720001220703125,-0.2599945068359375,281.0843505859375,280.4857482910156,277.9361877441406,53.36143493652344,57.39997863769531,64.75859069824219
72,6,29,12,256.2099914550781,66.44999694824219,7.42999267578125,258.7357177734375,262.9106140136719,261.75567626953125,53.941383361816406,60.32571792602539,57.63002395629883
73,6,25,4,291.0299987792969,44.94000244140625,4.7700042724609375,283.87713623046875,281.5192565917969,279.4406433105469,53.547142028808594,52.68000411987305,61.048095703125
74,9,17,4,275.1099853515625,56.839996337890625,2.149993896484375,276.5229187011719,274.7171630859375,272.93804931640625,71.30569458007812,82.09712982177734,83.78141784667969
75,9,14,4,278.3999938964844,54.83000183105469,-1.6699981689453125,279.93719482421875,278.2828369140625,275.70611572265625,56.98569869995117,72.30504608154297,74.663330078125
76,6,14,5,284.239990234375,52.339996337890625,1.410003662109375,282.0142517089844,280.01361083984375,279.124267578125,61.20567321777344,64.43505096435547,70.12287139892578
77,3,7,4,287.8800048828125,56.75,-6.160003662109375,285.67144775390625,283.3742980957031,283.3886413574219,59.76713943481445,70.01861572265625,69.61378479003906
78,11,9,4,286.5,56.96000671386719,-9.050003051757812,284.4586181640625,283.0542907714844,282.25762939453125,62.88429641723633,70.9836196899414,73.85765075683594
79,6,24,4,286.33001708984375,25.399993896484375,0.3199920654296875,284.8414306640625,282.1078796386719,280.0642395019531,45.45713806152344,54.662132263183594,48.34334182739258
80,9,19,10,286.8399963378906,51.94000244140625,-0.69000244140625,287.78277587890625,286.46136474609375,286.1870422363281,58.57992935180664,58.909305572509766,58.990020751953125
81,8,22,5,296.6199951171875,29.42999267578125,2.42999267578125,291.3943176269531,289.5391845703125,288.1512451171875,41.79287338256836,42.03215026855469,39.08094024658203
82,2,6,4,271.8500061035156,37.670013427734375,2.589996337890625,274.0943603515625,275.5628662109375,273.4333801269531,34.009986877441406,47.550025939941406,57.66096496582031
83,10,16,10,292.75,43.269989013671875,-10.669998168945312,290.53021240234375,289.6493225097656,289.6215515136719,44.10433578491211,46.44639205932617,49.73573684692383
84,10,7,4,283.6300048828125,51.83000183105469,-2.5200042724609375,281.3243713378906,278.7929382324219,276.9985046386719,62.20140838623047,68.633544921875,72.5533218383789
85,11,15,10,289.8499755859375,46.660003662109375,-2.290008544921875,289.2015380859375,289.09014892578125,289.79791259765625,50.810001373291016,55.21293258666992,56.20341110229492
86,8,7,5,285.3999938964844,30.350006103515625,0.5999908447265625,284.13287353515625,281.40496826171875,280.3656921386719,31.891427993774414,38.65433883666992,40.19144058227539
87,6,29,4,284.010009765625,43.149993896484375,-0.279998779296875,282.9571838378906,280.56787109375,279.2738037109375,56.72148895263672,53.19141387939453,60.77091979980469
88,10,8,5,282.27001953125,81.20999145507812,2.75,280.4956970214844,275.95367431640625,274.6534118652344,77.44712829589844,80.15141296386719,80.91523742675781
